Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Working Industry,Employer Type,Job Role,Job Title,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Work if FI,Intended Retirement Age,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,No,Australian Dollars (AUD),31-35,"In a relationship, but not married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Software Engineer,For an organization,,,,Rent,81-90,No,1386962.5520110957,25,,2080443.8280166436,0,,34674.06380027739,Undecided,Undecided,,,,0.0,0.0,0.0,0.0,2022
1,No,Euros (EUR),21-25,"Single, never married",,,Other Services,Self-employed,Customer service,Tour Guide,For myself,,,,Live with family or friends,41-50,No,3154574.132492114,1,,841219.7686645637,0,21030.49421661409,26288.117770767614,Partially,41-45,,,,362250.2628811777,0.0,4037.8548895899057,8412.197686645637,2022
1,Yes,United States Dollars (USD),31-35,Married,3,1,Energy,Private corporation,Management - Middle / Lower,Electrical Engineer,For an organization,,,,Own,61-70,No,1200000.0,24,,800000.0,3,30000.0,60000.0,Partially,41-45,,,,362500.0,146000.0,40000.0,111250.0,2022
2,Yes,United States Dollars (USD),36-40,Divorced - Remarried,2,1,Energy,Public corporation,Management - Middle / Lower,,For an organization,,,,Own,81-90,Yes,,,No,5000000.0,3.5,18000.0,120000.0,No,46-50,2000000.0,,,3410000.0,0.0,125000.0,425000.0,2022
2,Yes,United States Dollars (USD),26-30,Married,,,Information Technology (incl. software engineering),Private corporation,Information technology,Software Developer,For an organization,,,,Rent,81-90,No,1750000.0,19,,1750000.0,3.5,45000.0,60000.0,Yes,36-40,,,,0.0,0.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,Information Technology (incl. software engineering),Public corporation,Information technology,Software Engineer,For an organization,,,,Own,91-100,No,1250000.0,25,,100.0,4,10000.0,50000.0,Yes,36-40,,,,686000.0,404000.0,113100.0,113000.0,2022
1,No,United States Dollars (USD),31-35,Married,1,2,Information Technology (incl. software engineering),Private corporation,Consultant,,For an organization,For myself,,,Rent,61-70,No,20000000.0,15,,20000000.0,1,10000.0,100000.0,Undecided,46-50,,,,2600000.0,0.0,65000.0,65000.0,2022
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,2,Information Technology (incl. software engineering),Public agency (Government),Information technology,engineer,For an organization,,,,Own,81-90,No,3000000.0,30,,3000000.0,1,15000.0,150000.0,No,46-50,,,,1360000.0,450000.0,180000.0,180000.0,2022
1,Yes,United States Dollars (USD),31-35,Married,2,0,Education,Public agency (Government),Professional (licensed / certificated),Teacher,For an organization,,,,Rent,71-80,No,500000.0,1,,5000000.0,2,40000.0,60000.0,No,71+,,,,30000.0,25000.0,78000.0,78000.0,2022
1,Yes,United States Dollars (USD),41-45,"Divorced - In a relationship, but not married",,,Financial Services,Self-employed,Professional (non-licensed),,For myself,,,,Rent,91-100,Yes,,,No,15000000.0,2,0.0,250000.0,No,66-70,4000000.0,,,4300000.0,0.0,729400.0,1000000.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Information Technology (incl. software engineering),Public corporation,Information technology,Software development engineer II,For an organization,,,,Rent,71-80,No,1500000.0,22.4,,2500000.0,2,20000.0,80000.0,Undecided,Undecided,,,,345700.0,0.0,275279.0,257000.0,2022
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,Financial Services,Private corporation,Consultant,Director,For an organization,,,,Rent,71-80,No,5000000.0,10,,5000000.0,2,250000.0,100000.0,No,Undecided,,,,582000.0,0.0,193428.0,225000.0,2022
1,No,Canadian Dollars (CAD),26-30,"Single, never married",,,Manufacturing,Public corporation,Management - Middle / Lower,Production Supervisor,For an organization,,,,Rent,81-90,No,1152959.2621060724,13.5,,1152959.2621060724,2,17678.708685626443,23059.185242121446,Undecided,41-45,,,,138355.11145272868,0.0,101460.41506533437,101460.41506533437,2022
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,Financial Services,Nonprofit corporation,Professional (non-licensed),Financial Analyst,For an organization,,,,Rent,61-70,No,4000000.0,16,,4000000.0,2,40000.0,80000.0,Undecided,51-55,,,,594845.0,7248.0,124011.0,130864.0,2022
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,4,Financial Services,Private corporation,Professional (non-licensed),Principal,For an organization,,,,Rent,91-100,No,10000000.0,20,,10000000.0,2,,200000.0,Yes,41-45,,,,2000000.0,0.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,Media,Public corporation,Professional (non-licensed),Graphics Producer / Developer,For an organization,,,,Own,61-70,No,1200000.0,51,,2400000.0,2,18000.0,24000.0,No,51-55,,,,947000.0,0.0,73000.0,73000.0,2022
1,No,Canadian Dollars (CAD),46-50,Married,1,0,Manufacturing,Private corporation,Professional (non-licensed),hardware developer,For an organization,,,,Own,71-80,Yes,,,No,6917755.572636434,2,1537.2790161414298,57647.963105303614,Undecided,46-50,4611837.04842429,,,6910069.177555727,0.0,0.0,0.0,2022
1,No,Euros (EUR),36-40,"Single, never married",,,Public Administration (Civilian Government),Public agency (Government),Administrative staff,Staff member,For an organization,,,,Rent,71-80,No,5257623.5541535225,70,,10515247.108307045,2,105152.47108307046,73606.72975814932,Undecided,41-45,,,,4086225.0262881177,0.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),46-50,"In a relationship, but not married",,,Professional & Business Services,Self-employed,Professional (licensed / certificated),Pres,,,For myself,,Own,81-90,Yes,,,No,2000000.0,2,50000.0,30000.0,Yes,51-55,1500000.0,,,1100000.0,0.0,30000.0,120000.0,2022
1,Yes,United States Dollars (USD),41-45,Married,2,0,Information Technology (incl. software engineering),Private corporation,Management - Upper,COO,For an organization,,,,Own,71-80,Yes,,,No,8000000.0,2,40000.0,100000.0,Partially,46-50,4000000.0,,,6250000.0,0.0,86500.0,360000.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,,Engineering (NOT software),Private corporation,Professional (non-licensed),Director of Cognitive Research,For an organization,,,,Own,61-70,Yes,,,No,2000000.0,2,24000.0,40000.0,Partially,36-40,625000.0,,,1134500.0,0.0,164500.0,168000.0,2022
1,Yes,United States Dollars (USD),36-40,"In a relationship, but not married",,1,Information Technology (incl. software engineering),Private corporation,Information technology,Data Scientist,For an organization,,,,Rent,81-90,Yes,,,No,3000000.0,2.05,4000.0,53114.0,Yes,41-45,1818335.0,,,2006000.0,500.0,43114.0,406000.0,2022
1,Yes,United States Dollars (USD),46-50,Married,,,Information Technology (incl. software engineering),Private corporation,Information technology,Engineer,For an organization,,,,Own,91-100,Yes,,,No,8500000.0,2.3,26000.0,194000.0,Yes,51-55,7500000.0,,,0.0,0.0,0.0,0.0,2022
2,No,Canadian Dollars (CAD),36-40,"In a relationship, but not married",,,Information Technology (incl. software engineering),Public corporation,Information technology,Software Engineer,For an organization,,,,Rent,71-80,No,3843197.5403535743,50,,3843197.5403535743,2.4,19215.98770176787,92236.74096848578,Yes,46-50,,,,1921598.7701767872,0.0,730207.5326671791,730207.5326671791,2022
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,Financial Services,Private corporation,Consultant,Director,For an organization,,,,Rent,71-80,No,5000000.0,11,,5000000.0,2.5,40000.0,120000.0,Undecided,61-65,,,,578000.0,0.0,0.0,0.0,2022
2,Yes,United States Dollars (USD),36-40,Married,2,0,Information Technology (incl. software engineering),Public corporation,Information technology,Engineer,For an organization,,,,Own,81-90,No,2500000.0,40,,5000000.0,2.5,40000.0,60000.0,Partially,41-45,,,,2600000.0,1050000.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Engineering (NOT software),Public corporation,Information technology,,For an organization,,,,Rent,91-100,No,2000000.0,33,,3000000.0,2.5,,80000.0,Partially,36-40,,,,1010000.0,0.0,0.0,365000.0,2022
1,Yes,United States Dollars (USD),21-25,"Single, never married",,3,Engineering (NOT software),Nonprofit corporation,Professional (non-licensed),Application Engineer,For an organization,,,,Rent,71-80,No,2500000.0,1.76,,4000000.0,2.5,40000.0,100000.0,Undecided,41-45,,,,55000.0,27500.0,71900.0,78000.0,2022
1,Yes,United States Dollars (USD),,,,,,,,,"For an organization,For myself",,,,Own,81-90,Yes,,,No,,2.5,38500.0,48000.0,No,Undecided,2500000.0,,,3857000.0,0.0,571000.0,571000.0,2022
1,No,Euros (EUR),41-45,"Single, never married",,2,Financial Services,Private corporation,Management - Middle / Lower,Head of department,"For an organization,For myself",,,,Own,41-50,No,1051524.7108307045,76,,841219.7686645637,2.5,12618.296529968455,22082.018927444795,Partially,41-45,,,,2202944.269190326,0.0,69821.24079915878,205467.92849631968,2022
1,Yes,United States Dollars (USD),41-45,"Single, never married",,,Information Technology (incl. software engineering),Private corporation,Professional (non-licensed),Software engineer,For an organization,,,,Rent,91-100,Yes,,,No,,2.5,,70000.0,No,51-55,2500000.0,,,3000000.0,0.0,0.0,0.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,2,Leisure & Hospitality,Private corporation,Management - Upper,"VP, Digital Marketing",For an organization,,,,Own,81-90,No,2500000.0,20,,2000000.0,2.5,60000.0,100000.0,Undecided,51-55,,,,1520000.0,480000.0,140000.0,320000.0,2022
2,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,2,Financial Services,Public corporation,Information technology,Consultant,For an organization,,,,Own,81-90,Yes,,,No,10000000.0,2.5,,150000.0,No,41-45,3000000.0,,,6550000.0,600000.0,120000.0,450000.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,2,Healthcare,Private corporation,,,For an organization,,,,Rent,81-90,No,5000000.0,10,,5000000.0,2.5,,100000.0,Undecided,56-60,,,,500000.0,0.0,22000.0,180000.0,2022
>3,No,Australian Dollars (AUD),<20,"Single, never married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Data Engineer,,For an organization,,,Own,91-100,No,3467406.3800277393,11,,3467406.3800277393,2.5,,173370.31900138696,Undecided,36-40,,,,0.0,0.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,Information Technology (incl. software engineering),Public corporation,Information technology,,For an organization,,,,Rent,71-80,No,2000000.0,40,,1500000.0,2.5,75000.0,50000.0,Undecided,41-45,,,,755000.0,0.0,154300.0,171000.0,2022
2,Yes,United States Dollars (USD),46-50,Married,1,0,Utilities,Public agency (Government),Management - Upper,Communications manager,For an organization,,,,Own,81-90,No,1250000.0,90,,1250000.0,2.5,95000.0,60000.0,Yes,46-50,,,,0.0,0.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),51-55,"Single, never married",,,Information Technology (incl. software engineering),Public corporation,Information technology,Senior Software Engineer,,,,For myself,Rent,91-100,Yes,,,No,3200000.0,2.75,90000.0,90000.0,Undecided,56-60,3000000.0,,,3332560.0,1710.0,7000.0,0.0,2022
2,Yes,United States Dollars (USD),41-45,Married,1,0,Information Technology (incl. software engineering),Self-employed,Consultant,IT Consultant,,,For myself,,Nomadic,101-110,Yes,,,No,2500000.0,2.9,0.0,50000.0,No,41-45,1000000.0,,,1720000.0,0.0,238600.0,249000.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Software Engineer,For an organization,,,,Rent,91-100,No,2000000.0,15,,,3,,50000.0,No,46-50,,,,270000.0,0.0,34000.0,175000.0,2022
1,Yes,United States Dollars (USD),41-45,"Single, never married",,,Information Technology (incl. software engineering),Public corporation,Information technology,Solutions Designer,For an organization,,,,Nomadic,81-90,Yes,,,No,2000000.0,3,50000.0,36000.0,No,51-55,1500000.0,,,1725000.0,500.0,36700.0,125000.0,2022
2,Yes,United States Dollars (USD),36-40,"In a relationship, but not married",1,0,Distribution / Logistics,Nonprofit corporation,Management - Upper,Chief Operating Officer,For an organization,,,,Own,81-90,No,2000000.0,30,,2500000.0,3,15000.0,80000.0,Undecided,46-50,,,,2100000.0,960000.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),21-25,"Single, never married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Technical Writer,For an organization,,,,Rent,81-90,No,750000.0,3.33,,1500000.0,3,,60000.0,Partially,Undecided,,,,35660.0,0.0,77363.0,77000.0,2022
2,Yes,United States Dollars (USD),46-50,Married,,,Education,Nonprofit corporation,Management - Upper,,For an organization,,,,Own,71-80,Yes,,,No,4000000.0,3,50000.0,70000.0,No,51-55,3000000.0,,,3000000.0,0.0,400000.0,400000.0,2022
1,Yes,United States Dollars (USD),21-25,"Single, never married",,3,Manufacturing,Public corporation,Skilled laborer / skilled tradesperson,Fabrication specialist team lead,For an organization,,,,Live with family or friends,81-90,No,1500000.0,4,,3300000.0,3,,50000.0,No,36-40,,,,50000.0,3500.0,505.0,102000.0,2022
2,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,,Information Technology (incl. software engineering),Private corporation,Information technology,Technical Support Engineer,For an organization,,,,Own,71-80,No,200000.0,25,,,3,,,No,56-60,,,,630500.0,158000.0,0.0,0.0,2022
2,No,Canadian Dollars (CAD),36-40,Married,,2,Energy,Private corporation,Professional (non-licensed),Risk specialist,For an organization,,,,Own,71-80,No,922367.4096848578,25,,1383551.1145272867,3,53804.76556495004,39969.25441967717,No,51-55,,,,1099154.4965411222,507302.0753266718,88547.27132974635,104688.70099923137,2022
1,Yes,United States Dollars (USD),36-40,Married,2,0,Financial Services,Public corporation,Management - Upper,,For an organization,,,,Own,81-90,No,3000000.0,85,,5000000.0,3,,120000.0,No,51-55,,,,2935000.0,70000.0,120000.0,310000.0,2022
2,Yes,United States Dollars (USD),51-55,Divorced - Remarried,2,0,Information Technology (incl. software engineering),Public corporation,Information technology,software engineer,For an organization,,,,Own,81-90,No,5000000.0,56,,500000.0,3,100000.0,100000.0,Undecided,56-60,,,,4780000.0,500000.0,640000.0,640000.0,2022
1,Yes,United States Dollars (USD),<20,"Single, never married",,,Media,Self-employed,Marketing,,For myself,,,,Rent,81-90,No,3.0,40,,10.0,3,500.0,300.0,No,51-55,,,,1002000.0,0.0,81900.0,300000.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Information Technology (incl. software engineering),Public corporation,Information technology,,For an organization,,,,Rent,91-100,No,2500000.0,24,,2500000.0,3,,70000.0,Undecided,46-50,,,,602000.0,0.0,0.0,0.0,2022
1,No,Canadian Dollars (CAD),26-30,Married,,,Information Technology (incl. software engineering),Self-employed,Professional (non-licensed),Software Engineer,For myself,,,,Rent,51-60,Yes,,,No,1152959.2621060724,3,,9223.67409684858,Undecided,26-30,922367.4096848578,,,1152959.2621060724,0.0,28747.117601844737,107609.53112990008,2022
1,Yes,United States Dollars (USD),46-50,"In a relationship, but not married",,,Trade,Private corporation,Management - Upper,General Manager,For an organization,,,,Provided by employer or school (includes military),81-90,No,3000000.0,50,,3000000.0,3,10000.0,100000.0,Undecided,51-55,,,,1500000.0,0.0,277000.0,330000.0,2022
1,Yes,United States Dollars (USD),26-30,"Single, never married",,,Healthcare,Nonprofit corporation,Information technology,Clinical Analyst 2,For an organization,,,,Rent,91-100,No,800000.0,2,,1000000.0,3,,30000.0,Partially,46-50,,,,35700.0,62400.0,111112.0,91869.0,2022
2,Yes,United States Dollars (USD),21-25,"In a relationship, but not married",,2,Information Technology (incl. software engineering),Private corporation,Information technology,Sr. Software Engineer,For an organization,,,,Own,81-90,No,5000000.0,40,,10000000.0,3,250000.0,250000.0,Partially,36-40,,,,2030000.0,0.0,875000.0,875000.0,2022
2,Yes,United States Dollars (USD),46-50,Married,,,Information Technology (incl. software engineering),Private corporation,Management - Middle / Lower,,For an organization,,,,Own,71-80,No,2000000.0,20,,2000000.0,3,4000.0,60000.0,Partially,56-60,,,,0.0,0.0,0.0,0.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,1,Professional & Business Services,Self-employed,Marketing,Owner,For myself,,,,Own,91-100,Yes,,,No,10000000.0,3,200000.0,100000.0,No,71+,900000.0,,,2105000.0,0.0,95000.0,417000.0,2022
1,No,United States Dollars (USD),31-35,"Single, never married",,,Natural Resources,Private corporation,Management - Middle / Lower,,For an organization,,,,Live with family or friends,41-50,No,2500000.0,26,,5000000.0,3,150000.0,150000.0,Partially,36-40,,,,652350.0,1360.0,120000.0,120000.0,2022
2,Yes,United States Dollars (USD),31-35,Married,1,1,Healthcare,Private corporation,Professional (licensed / certificated),CRNA,For an organization,,,,Own,71-80,No,2500000.0,10,,2500000.0,3,,80000.0,Partially,41-45,,,,735000.0,390000.0,235500.0,300000.0,2022
2,Yes,United States Dollars (USD),41-45,"Divorced - In a relationship, but not married",1,0,Financial Services,Public corporation,Management - Middle / Lower,,For an organization,,,,Own,71-80,No,15000000.0,66,,15000000.0,3,,250000.0,Partially,46-50,,,,12900000.0,710000.0,400000.0,400000.0,2022
1,Yes,United States Dollars (USD),31-35,"Single, never married",,,Manufacturing,Private corporation,Management - Middle / Lower,,For an organization,,,,Own,71-80,No,2000000.0,40,,2500000.0,3,20000.0,50000.0,Yes,41-45,,,,1070000.0,95000.0,180000.0,180000.0,2022
2,Yes,United States Dollars (USD),36-40,Married,,2,Financial Services,Private corporation,Professional (licensed / certificated),Manager,For an organization,,,,Rent,81-90,Yes,,,No,2000000.0,3,40000.0,40000.0,Partially,36-40,1000000.0,,,1300000.0,0.0,128700.0,165000.0,2022
2,Yes,United States Dollars (USD),31-35,"In a relationship, but not married",,2,Construction,Public corporation,Management - Middle / Lower,Product Manager,For an organization,,,,Rent,71-80,Yes,,,No,2000000.0,3,20400.0,80000.0,No,46-50,200000.0,,,208000.0,0.0,137600.0,185000.0,2022
2,Yes,United States Dollars (USD),31-35,Married,1,1,Manufacturing,Public corporation,Professional (non-licensed),Process Improvement Engineer,For an organization,,,,Own,71-80,No,2000000.0,27,,2500000.0,3,103000.0,80000.0,Yes,46-50,,,,947000.0,0.0,215400.0,215400.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,,Retail,Private corporation,Management - Upper,Manager PMT,For an organization,,,,Own,81-90,No,1500000.0,80,,3000000.0,3,60000.0,80000.0,No,36-40,,,,2150000.0,995000.0,401000.0,401000.0,2022
2,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,2,Healthcare,Private corporation,Professional (non-licensed),Scientist,For an organization,,,,Rent,91-100,No,5000000.0,3,,10000000.0,3,300000.0,200000.0,Undecided,51-55,,,,172000.0,0.0,83070.0,82000.0,2022
2,Yes,United States Dollars (USD),41-45,Married,2,0,Education,Nonprofit corporation,Professional (licensed / certificated),Professor,For an organization,,,,Own,71-80,No,1700000.0,60,,1700000.0,3,60000.0,42000.0,Undecided,46-50,,,,1648000.0,253000.0,129518.0,30518.0,2022
1,Yes,United States Dollars (USD),36-40,"Single, never married",,,Education,Public agency (Government),Information technology,,For an organization,,,,Rent,61-70,No,1500000.0,50,,2000000.0,3,60000.0,55000.0,No,56-60,,,,885000.0,0.0,89100.0,97000.0,2022
2,Yes,United States Dollars (USD),36-40,Married,1,1,Public Administration (Civilian Government),Public agency (Government),Professional (non-licensed),,For an organization,,,,Own,21-30,No,2500000.0,50,,,3,150000.0,150000.0,No,Undecided,,,,2650000.0,750000.0,150000.0,300000.0,2022
2,Yes,United States Dollars (USD),36-40,Married,2,0,Education,Public agency (Government),Professional (licensed / certificated),School Psychologist,For an organization,,,,Own,91-100,No,1000000.0,7,,1000000.0,3,160000.0,120000.0,Undecided,61-65,,,,580000.0,605000.0,0.0,0.0,2022
1,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,2,Manufacturing,Public corporation,Professional (licensed / certificated),Process Engineer,For an organization,,,,Rent,81-90,No,,,,,3,,,Undecided,51-55,,,,257043.0,14425.0,0.0,110000.0,2022
2,Yes,United States Dollars (USD),26-30,"In a relationship, but not married",,,Information Technology (incl. software engineering),,Information technology,IT operations,For an organization,,,,Rent,91-100,No,3000000.0,9,,50.0,3,150000.0,90000.0,Partially,51-55,,,,108000.0,12000.0,110000.0,225000.0,2022
2,Yes,United States Dollars (USD),26-30,Married,,2,Engineering (NOT software),Public agency (Government),Professional (non-licensed),Senior Cybersecurity/Cryptography Engineer,For an organization,,,,Own,71-80,No,3500000.0,10,,5000000.0,3,27624.0,100000.0,No,41-45,,,,725624.0,423562.0,174000.0,174000.0,2022
2,Yes,United States Dollars (USD),31-35,Married,,,Financial Services,Nonprofit corporation,Professional (non-licensed),Senior Mortgage Serviceing Specialist,For an organization,,,,Own,91-100,No,2000000.0,10,,2000000.0,3,60000.0,60000.0,Partially,51-55,,,,917500.0,370000.0,50000.0,126900.0,2022
2,Yes,United States Dollars (USD),26-30,Married,,2,Information Technology (incl. software engineering),Private corporation,Information technology,Software Engineer,For an organization,,,,Own,81-90,No,3000000.0,10,,3000000.0,3,24000.0,120000.0,Yes,51-55,,,,1075500.0,666000.0,120000.0,330000.0,2022
2,Yes,United States Dollars (USD),26-30,Married,,,Engineering (NOT software),Public agency (Government),Professional (licensed / certificated),Professional Engineer,For an organization,,,,Own,91-100,No,2500000.0,40,,5000000.0,3,20000.0,80000.0,Partially,41-45,,,,1635000.0,410000.0,294800.0,296000.0,2022
