Number of Contributors,Reside in US,Currency Used,Age,Relationship Status,Children Currently,Children Desired,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Working Industry,Employer Type,Job Role,Job Title,Housing Situation,Cost of Living Index,Financially Independent,FI Number,Percent of FI Amount,Retired,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,Type of FI,Work if FI,Intended Retirement Age,Inflation/Recession Effects,FI Number [Retired],Annual Withdrawal Rate,Annual Withdrawal Amount,Total Assets,Total Debt,Annual Expenses,Total Income,Year
2,Yes,United States Dollars (USD),46-50,Married,,,,,For myself,,Professional & Business Services,Self-employed,Professional (non-licensed),Copywriter,Own,61-70,No,1500000.0,40,,1500000.0,4,40000.0,60000.0,Barista / Coast FI,Partially,61-65,No change,,,,770000.0,0.0,45000.0,75000.0,2023
2,Yes,United States Dollars (USD),36-40,Married,1,2,For myself,,,,Media,Private corporation,Consultant,COO,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),51-55,"Single, never married",,,For an organization,,,,Financial Services,Private corporation,Management - Middle / Lower,Senior Compliance Officer,Own,81-90,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),51-55,Married,2,0,,For an organization,,,Engineering (NOT software),Private corporation,Professional (licensed / certificated),Senior Engineer,Own,51-60,Yes,,,Yes,,,,,,,,,3000000.0,4.0,120000,3750000.0,0.0,121000.0,0.0,2023
1,No,United States Dollars (USD),41-45,"Single, never married",,,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Management - Middle / Lower,Foreign Service Officer,Provided by employer or school (includes military),71-80,No,1000000.0,65,,1000000.0,5,36000.0,50000.0,FI,Partially,41-45,Increased my FI and/or RE number,,,,695000.0,220000.0,140000.0,180000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),21-25,"In a relationship, but not married",,2,For an organization,,,,Transportation,Public corporation,Management - Middle / Lower,Sr. Analyst,Own,71-80,No,2500000.0,20,,3500000.0,3.5,100000.0,120000.0,FI,No,36-40,Increased my FI and/or RE number,,,,921000.0,3500.0,256000.0,256000.0,2023
1,Yes,United States Dollars (USD),36-40,Married,2,0,For an organization,,,,Public Administration (Civilian Government),Public agency (Government),Management - Middle / Lower,Senior Analyst,Own,71-80,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
1,Yes,United States Dollars (USD),46-50,"Single, never married",,,,For an organization,,,Engineering (NOT software),Private corporation,Professional (non-licensed),Engineer,Own,91-100,Yes,,,No,,,,,Undecided,Undecided,Undecided,No change,,,,5000000.0,0.0,0.0,170000.0,2023
2,Yes,United States Dollars (USD),36-40,Married,1,1,For an organization,,For myself,,Engineering (NOT software),Public corporation,Professional (non-licensed),Research engineer,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2023
2,Yes,United States Dollars (USD),21-25,Married,,3,For an organization,,,,Information Technology (incl. software engineering),Public corporation,Information technology,Software Engineer,Own,71-80,No,3000000.0,17,,3000000.0,3.5,0.0,100000.0,FI,Yes,31-35,No change,,,,702000.0,200000.0,410000.0,410000.0,2023
2,Yes,United States Dollars (USD),31-35,Married,1,1,For an organization,,,,Engineering (NOT software),Private corporation,Professional (non-licensed),Scientist,Own,61-70,No,2000000.0,25,,2000000.0,4,,,FI,Partially,46-50,"Increased my FI and/or RE number,Increased my planned RE date",,,,978400.0,295000.0,105000.0,230000.0,2023
