Number of Contributors,Reside in US,Age,Relationship Status,Country,Currency Used,Financially Independent,FI Number,Percent of FI Amount,Amount to Retire,Target Safe Withdrawal Rate,Annual Income [Supplemental Sources],Retired Annual Spending,FI Number [Retired],Retired,Intended Retirement Age,Work if FI,Annual Withdrawal Rate,Annual Withdrawal Amount,Working Industry,Employer Type,Job Role,Full Time Employment,"Part Time, Regular Employment","Part Time, Irregular Employement",Not Employed,Housing Situation,Cost of Living Index,Total Assets,Total Debt,Annual Expenses,Total Income,Year
1,No,24-28,"Single, never married",Australia,AUD,No,2410468.3195592286,12.0,1721763.085399449,4.0,13774.104683195592,48209.36639118457,,,49-53,Partially,,,Financial Services,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,31-40,467066.1157024794,162190.0826446281,65778.23691460055,65426.99724517907,2020
2,No,29-33,Married,Australia,AUD,No,688705.2341597796,26.0,860881.5426997246,4.0,3443.526170798898,34435.26170798898,,,34-38,Partially,,,Utilities,Public corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Rent,81-90,179063.3608815427,6887.052341597796,69903.58126721764,110192.83746556472,2020
1,No,29-33,"In a relationship, but not married",Australia,AUD,No,688705.2341597796,8.0,1205234.1597796143,4.0,,34435.26170798898,,,44-48,No,,,Public Administration (Civilian Government),Public agency,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,53030.30303030303,22727.272727272728,67886.36363636363,82644.62809917355,2020
1,No,24-28,"Single, never married",Australia,AUD,No,516528.92561983474,27.0,1377410.4683195592,4.0,13774.104683195592,55096.41873278237,,,39-43,No,,,Education,Self-employed,Skilled Laborer / Skilled Trade,For Myself (Self-Employed),,,,Own,61-70,596418.7327823691,435261.7079889808,72506.8870523416,83333.33333333334,2020
1,No,29-33,"In a relationship, but not married",Australia,AUD,No,1928374.655647383,78.0,3305785.123966942,2.5,61294.76584022039,55096.41873278237,,,44-48,Undecided,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Live with family or friends,81-90,2851239.6694214875,1466942.1487603306,179063.3608815427,179063.3608815427,2020
1,No,24-28,"Single, never married",Australia,AUD,No,688705.2341597796,7.65,,3.5,,27548.209366391184,,,39-43,Partially,,,Information Technology,Nonprofit corporation,Information Technology,For an Organization (Employed),,,,Rent,31-40,55937.32782369146,0.0,30199.724517906336,61294.76584022039,2020
1,No,18-23,"Single, never married",Australia,AUD,No,1721763.085399449,2.0,2582644.628099174,3.5,27548.209366391184,103305.78512396694,,,49-53,Undecided,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,,Rent,81-90,54407.713498622594,27548.209366391184,97107.43801652892,99862.25895316804,2020
2,No,29-33,"In a relationship, but not married",Australia,AUD,No,942837.4655647384,19.0,1080578.5123966942,3.75,24104.683195592286,37878.78787878788,,,39-43,Undecided,,,Information Technology,Public corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,For Myself (Self-Employed),,Rent,81-90,404958.6776859504,155647.3829201102,123436.6391184573,124655.64738292011,2020
2,No,29-33,"In a relationship, but not married",Australia,AUD,No,619834.7107438017,30.0,964187.3278236917,4.0,23233.47107438017,37878.78787878788,,,49-53,Partially,,,"Agriculture, Forestry, Fishing",Private corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,61-70,387396.694214876,22727.272727272728,71202.47933884298,60300.96418732782,2020
2,No,34-38,"In a relationship, but not married",Australia,AUD,No,2066115.702479339,86.0,3443526.170798898,3.0,27548.209366391184,89531.68044077135,,,39-43,Yes,,,Public Administration (Civilian Government),Public agency,Management - Middle / Lower,For an Organization (Employed),,For an Organization (Employed),,Rent,81-90,1874655.64738292,0.0,212088.8429752066,482093.66391184577,2020
2,No,39-43,Married,Australia,AUD,No,2754820.9366391185,50.0,3443526.170798898,4.0,137741.04683195593,68870.52341597796,,,54-58,Partially,,,Professional & Business Services,Private corporation,Management - Upper,For Myself (Self-Employed),,,,Own,81-90,2417355.3719008267,454545.4545454546,707231.4049586777,895316.8044077135,2020
1,No,34-38,"Single, never married",Australia,AUD,No,1033057.8512396696,50.0,1377410.4683195592,2.0,0.0,27548.209366391184,,,39-43,Undecided,,,Transportation,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,81-90,640495.8677685951,0.0,102410.46831955924,101928.3746556474,2020
1,No,29-33,"Single, never married",Australia,AUD,Yes,,,,,,,344352.6170798898,No,34-38,Partially,,,Utilities,Self-employed,Professional (licensed / certificated),For an Organization (Employed),,For Myself (Self-Employed),,Rent,81-90,699035.8126721763,0.0,23243.80165289256,44765.84022038568,2020
1,No,24-28,"Single, never married",Australia,AUD,No,68870.52341597796,20.0,1377410.4683195592,4.0,17217.63085399449,27548.209366391184,,,29-33,Partially,,,Financial Services,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,31-40,237603.305785124,6198.347107438017,265151.51515151514,265151.51515151514,2020
1,No,18-23,"Single, never married",Australia,AUD,No,1721763.085399449,0.0,2754820.9366391185,3.5,34435.26170798898,82644.62809917355,,,49-53,No,,,Healthcare,Private corporation,"Professional (non-licensed, certified)",,"For an Organization (Employed), For Myself (Self-Employed)",,,Rent,81-90,4820.936639118458,26170.798898071625,13946.280991735535,13774.104683195592,2020
1,No,24-28,"Single, never married",Australia,AUD,No,550964.1873278237,12.5,1033057.8512396696,4.0,0.0,41322.31404958678,,,39-43,Partially,,,Professional & Business Services,Private corporation,"Professional (non-licensed, certified)",For an Organization (Employed),,,For Myself (Self-Employed),Rent,91-100,93663.91184573004,12396.694214876034,81955.92286501378,68870.52341597796,2020
2,No,34-38,"In a relationship, but not married",australia,AUD,No,860881.5426997246,40.0,1721763.085399449,3.0,34435.26170798898,17217.63085399449,,,44-48,Partially,,,Natural Resources,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Own,81-90,1280991.7355371902,309917.35537190083,53340.22038567493,275482.09366391186,2020
1,No,24-28,"Single, never married",Australia,AUD,No,1721763.085399449,50.0,1721763.085399449,3.0,0.0,51652.89256198347,,,29-33,Yes,,,Other Services,Public corporation,Consultant,For an Organization (Employed),,,,Live with family or friends,71-80,801825.0688705235,26170.798898071625,18799.586776859505,43044.07713498623,2020
2,No,44-48,"In a relationship, but not married",Australia,AUD,No,1033057.8512396696,74.0,1033057.8512396696,3.0,34435.26170798898,24104.683195592286,,,44-48,Undecided,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,875049.5867768595,106183.1955922865,166542.01101928376,161845.7300275482,2020
2,No,44-48,"In a relationship, but not married",Australia,AUD,No,1033057.8512396696,74.0,1033057.8512396696,3.0,34435.26170798898,24104.683195592286,,,44-48,Undecided,,,Professional & Business Services,Private corporation,Professional (licensed / certificated),For an Organization (Employed),,,,Own,71-80,875049.5867768595,106183.1955922865,166542.01101928376,161845.7300275482,2020
1,No,18-23,"In a relationship, but not married",Australia,AUD,No,1377410.4683195592,5.5,1377410.4683195592,3.5,,34435.26170798898,,,44-48,Partially,,,Information Technology,Private corporation,Information Technology,For an Organization (Employed),,,,Rent,61-70,109545.79201101928,27548.209366391184,16564.73829201102,44765.84022038568,2020
1,No,29-33,"In a relationship, but not married",Australia,AUD,No,1033057.8512396696,18.0,1377410.4683195592,3.0,0.0,41322.31404958678,,,39-43,Undecided,,,Construction,Public corporation,Management - Middle / Lower,For an Organization (Employed),,,,Rent,81-90,311639.1184573003,33057.85123966942,97382.92011019283,110192.83746556472,2020
