Date,Open,High,Low,Close,Adj Close
2023-12-29,10356.09,10368,10289.35,10327.83,10327.83
2023-12-28,10363.28,10377.97,10351.71,10356.59,10356.59
2023-12-27,10333.99,10359.65,10324.51,10351.6,10351.6
2023-12-26,10301.59,10357.22,10300.69,10335.98,10335.98
2023-12-22,10290.83,10331.81,10253.9,10292.37,10292.37
2023-12-21,10226.69,10279.34,10192.2,10275.3,10275.3
2023-12-20,10314.19,10342.88,10169.4,10170.51,10170.51
2023-12-19,10267.53,10321.36,10267.53,10320.86,10320.86
2023-12-18,10227.44,10279.14,10227.44,10259.85,10259.85
2023-12-15,10202.74,10226.93,10182.14,10213.48,10213.48
2023-12-14,10216.92,10254.63,10159.2,10213.69,10213.69
2023-12-13,10052.65,10189.74,10046.28,10184.38,10184.38
2023-12-12,9992.09,10047.54,9970.11,10047.04,10047.04
2023-12-11,9937.79,10003.16,9937.79,10000.64,10000.64
2023-12-08,9900.56,9971.96,9897.61,9961.5,9961.5
2023-12-07,9884.42,9932.07,9876.58,9920.64,9920.64
2023-12-06,9920.44,9930.07,9834.66,9840.65,9840.65
2023-12-05,9857.49,9903.55,9845.6,9878.97,9878.97
2023-12-04,9872.46,9889.49,9834.35,9884.17,9884.17
2023-12-01,9861.75,9948.09,9851.55,9937.89,9937.89
2023-11-30,9851.06,9883.54,9813.05,9879.02,9879.02
2023-11-29,9884.77,9918.91,9831.44,9838.82,9838.82
2023-11-28,9826.24,9875.08,9815.34,9846.43,9846.43
2023-11-27,9846.33,9858.43,9828.08,9836.75,9836.75
2023-11-24,9848.29,9857.1,9841.72,9855.84,9855.84
2023-11-22,9842,9874.74,9824.73,9849.74,9849.74
2023-11-21,9810.65,9817.55,9782.61,9809.39,9809.39
2023-11-20,9751.91,9850.03,9749.06,9829.02,9829.02
2023-11-17,9746.26,9769.1,9725.35,9755.92,9755.92
2023-11-16,9719.1,9750.6,9699.29,9743.22,9743.22
2023-11-15,9734.53,9768.65,9713,9729.31,9729.31
2023-11-14,9632.67,9740,9632.67,9712.01,9712.01
2023-11-13,9517.68,9550.21,9490.09,9528.25,9528.25
2023-11-10,9425.29,9541.64,9402.13,9535.63,9535.63
2023-11-09,9482.7,9485.58,9380.39,9387.59,9387.59
2023-11-08,9465.68,9480.43,9413.01,9462.25,9462.25
2023-11-07,9426.01,9469.29,9403.19,9452.28,9452.28
2023-11-06,9421.65,9438.47,9385.89,9425.34,9425.34
2023-11-03,9356.51,9441.52,9356.51,9408.56,9408.56
2023-11-02,9213.7,9324.75,9213.7,9320.56,9320.56
2023-11-01,9068.49,9163.86,9060.87,9147.45,9147.45
2023-10-31,9003.82,9056.04,8964.5,9052.31,9052.31
2023-10-30,8934.28,9016.29,8920.36,8993.46,8993.46
2023-10-27,8962.67,8970.75,8857.03,8885.94,8885.94
2023-10-26,9012.27,9028.49,8908.49,8928.63,8928.63
2023-10-25,9133.93,9133.93,9023.99,9035.4,9035.4
2023-10-24,9141.15,9191.66,9105.95,9166.8,9166.8
2023-10-23,9086.14,9184.21,9040.45,9100.49,9100.49
2023-10-20,9223.08,9228.17,9113.96,9115.84,9115.84
2023-10-19,9325.29,9364.47,9213.82,9231.73,9231.73
2023-10-18,9402.17,9416.88,9286.85,9309.92,9309.92
2023-10-17,9376.01,9480.31,9359.9,9436.36,9436.36
2023-10-16,9369.85,9458.22,9369.85,9437.31,9437.31
2023-10-13,9408.66,9444.49,9304.14,9338.09,9338.09
2023-10-12,9452.76,9463.36,9333.01,9385.16,9385.16
2023-10-11,9420.79,9446.49,9375.05,9443.13,9443.13
2023-10-10,9362.43,9460.78,9362.26,9402.31,9402.31
2023-10-09,9252.8,9366.44,9241.65,9353.41,9353.41
2023-10-06,9135.83,9328.22,9103.3,9294.82,9294.82
2023-10-05,9187.24,9203.9,9115.37,9184.81,9184.81
2023-10-04,9130.62,9205.37,9102.08,9195.14,9195.14
2023-10-03,9208.03,9232.15,9093.28,9121.14,9121.14
2023-10-02,9239.16,9273.38,9187.22,9247.51,9247.51
2023-09-29,9333.26,9343.39,9218.38,9246.74,9246.74
2023-09-28,9206.76,9309.17,9195.61,9271.55,9271.55
2023-09-27,9233.53,9253.89,9138.74,9216.02,9216.02
2023-09-26,9298.56,9298.84,9197.58,9213.72,9213.72
2023-09-25,9293.07,9352.8,9276.72,9350.9,9350.9
2023-09-22,9360.05,9393.7,9305.67,9313.3,9313.3
2023-09-21,9430.2,9432.86,9333.17,9334.59,9334.59
2023-09-20,9599.01,9616.41,9488.48,9489.92,9489.92
2023-09-19,9582.41,9590.62,9520.38,9579.27,9579.27
2023-09-18,9581.82,9627.56,9575.37,9599.93,9599.93
2023-09-15,9695.61,9695.61,9586.27,9592.86,9592.86
2023-09-14,9673.23,9725.39,9653.9,9710.54,9710.54
2023-09-13,9616.35,9652.29,9596.67,9626.68,9626.68
2023-09-12,9639.15,9668.79,9603.79,9614.66,9614.66
2023-09-11,9655.38,9676.48,9627.38,9669.36,9669.36
2023-09-08,9591.44,9639.11,9585.23,9604.77,9604.77
2023-09-07,9554.67,9604.12,9546.3,9590.4,9590.4
2023-09-06,9673.55,9673.55,9570.21,9619.98,9619.98
2023-09-05,9715.75,9724.64,9685.5,9687.26,9687.26
2023-09-01,9759.6,9782.23,9696.71,9727.64,9727.64
2023-08-31,9729.81,9762.66,9709.17,9709.68,9709.68
2023-08-30,9691.68,9737.5,9677.15,9722.96,9722.96
2023-08-29,9544.53,9689.41,9543.2,9684.22,9684.22
2023-08-28,9529.77,9557.82,9506.36,9545.44,9545.44
2023-08-25,9450.75,9512.94,9379.77,9485.89,9485.89
2023-08-24,9591.21,9597.8,9420.79,9421.47,9421.47
2023-08-23,9464.53,9565.17,9464.53,9549.73,9549.73
2023-08-22,9505.04,9511.51,9435.11,9445.22,9445.22
2023-08-21,9429.43,9487.59,9386.44,9471.39,9471.39
2023-08-18,9353.05,9432.46,9333.96,9406.5,9406.5
2023-08-17,9506.18,9516.6,9395.62,9407.27,9407.27
2023-08-16,9541.93,9576.69,9477.74,9478.54,9478.54
2023-08-15,9637.39,9637.39,9536.98,9549.17,9549.17
2023-08-14,9591.31,9659.95,9581.21,9659.26,9659.26
2023-08-11,9574.69,9629.04,9560.83,9603.45,9603.45
2023-08-10,9651.77,9736.95,9588.88,9612.36,9612.36
2023-08-09,9681.54,9682.45,9595.44,9608.73,9608.73
2023-08-08,9673.1,9684.41,9600.93,9676,9676
2023-08-07,9659.14,9719.84,9658.22,9716.91,9716.91
2023-08-04,9707.01,9763.65,9622.75,9629.77,9629.77
2023-08-03,9663.99,9718,9645.36,9680.36,9680.36
2023-08-02,9785.33,9785.33,9688.79,9704.63,9704.63
